Bantam,CT,Connecticut,Litchfield,41.7247,-73.2422,6750,1840004768
South Windham,CT,Connecticut,Windham,41.6849,-72.1845,06226 06266,1840003281
South Woodstock,CT,Connecticut,Windham,41.9275,-71.9627,06281 06267,1840003282
Torrington,CT,Connecticut,Litchfield,41.8349,-73.1282,6790,1840004770
Kensington,CT,Connecticut,Hartford,41.6298,-72.7714,6037,1840000505
New London,CT,Connecticut,New London,41.3502,-72.1023,6320,1840004827
Thompsonville,CT,Connecticut,Hartford,41.9916,-72.5965,6082,1840003267
Greens Farms,CT,Connecticut,Fairfield,41.124,-73.3193,6880,1840027295
Milford,CT,Connecticut,New Haven,41.2223,-73.0565,6460,1840028594
Coventry Lake,CT,Connecticut,Tolland,41.7736,-72.3287,6238,1840028597
Waterbury,CT,Connecticut,New Haven,41.5583,-73.0361,06708 06702 06704 06705 06706 06710 06701 06703 06720 06721 06722 06723 06724 06725 06726 06749,1840004851
Newtown,CT,Connecticut,Fairfield,41.4119,-73.312,6470,1840004838
Noank,CT,Connecticut,New London,41.334,-71.9978,06355 06340,1840003351
Greenfield Hill,CT,Connecticut,Fairfield,41.1765,-73.2918,6824,1840027294
Norfolk,CT,Connecticut,Litchfield,41.993,-73.1955,6058,1840026223
Cannondale,CT,Connecticut,Fairfield,41.2161,-73.4248,6897,1840026279
Oakville,CT,Connecticut,Litchfield,41.5923,-73.0858,06779 06795,1840003260
Titicus,CT,Connecticut,Fairfield,41.2923,-73.5035,6877,1840027299
Shelton,CT,Connecticut,Fairfield,41.306,-73.1383,6484,1840004840
Moodus,CT,Connecticut,Middlesex,41.5043,-72.449,6469,1840003369
New Britain,CT,Connecticut,Hartford,41.6758,-72.7862,06052 06053 06051 06050,1840004774
Baltic,CT,Connecticut,New London,41.614,-72.0866,6330,1840026270
Groton,CT,Connecticut,New London,41.339,-72.0727,06340 06349,1840004824
Broad Brook,CT,Connecticut,Hartford,41.9097,-72.5426,6016,1840004776
Durham,CT,Connecticut,Middlesex,41.4741,-72.6814,6422,1840000581
Manchester,CT,Connecticut,Hartford,41.7801,-72.5192,06042 06040 06041 06045,1840004778
