city, state_id, state_name, county, longitude, latitude, zips, fips id
Old Bridge,NJ,New Jersey,Middlesex,40.3946,-74.3323,8857,1840005416
Somers Point,NJ,New Jersey,Atlantic,39.3167,-74.6069,8244,1840001537
Franklinville,NJ,New Jersey,Gloucester,39.6182,-75.0757,8322,1840033280
Allamuchy,NJ,New Jersey,Warren,40.9223,-74.8114,07840 07820,1840024215
Laurel Springs,NJ,New Jersey,Camden,39.8213,-75.0054,8021,1840001513
West Belmar,NJ,New Jersey,Monmouth,40.1707,-74.0376,7719,1840005453
Pomona,NJ,New Jersey,Atlantic,39.4687,-74.5501,08215 08205,1840005596
Avon-by-the-Sea,NJ,New Jersey,Monmouth,40.1914,-74.0163,7717,1840003676
Columbia,NJ,New Jersey,Warren,40.926,-75.0945,7832,1840024222
Singac,NJ,New Jersey,Passaic,40.8848,-74.243,7424,1840033411
Ralston,NJ,New Jersey,Morris,40.7712,-74.6252,7945,1840016754
Bayonne,NJ,New Jersey,Hudson,40.6659,-74.1141,7002,1840003595
Ridgefield Park,NJ,New Jersey,Bergen,40.8544,-74.0199,7660,1840000898
Towaco,NJ,New Jersey,Morris,40.922,-74.3454,7082,1840033429
Sewell,NJ,New Jersey,Gloucester,39.7665,-75.1443,8080,1840033406
Navesink,NJ,New Jersey,Monmouth,40.402,-74.0387,07716 07760,1840005443
Lake Pine,NJ,New Jersey,Burlington,39.8659,-74.8493,8055,1840033319
Cinnaminson,NJ,New Jersey,Burlington,39.9968,-74.9927,8077,1840033463
Budd Lake,NJ,New Jersey,Morris,40.8733,-74.7375,07828 07836,1840005195
Pottersville,NJ,New Jersey,Somerset,40.7137,-74.7218,7979,1840033390
Closter,NJ,New Jersey,Bergen,40.9733,-73.9606,7624,1840003538
Robertsville,NJ,New Jersey,Monmouth,40.3395,-74.2939,07751 07726 07746,1840026509
Buttzville,NJ,New Jersey,Warren,40.8311,-75.0052,07823 07863,1840024221
Belmar,NJ,New Jersey,Monmouth,40.18,-74.0257,07719 07715,1840001355
Independence Corner,NJ,New Jersey,Sussex,41.2101,-74.5513,7461,1840033306
Millhurst,NJ,New Jersey,Monmouth,40.2537,-74.3415,7726,1840033347
Island Heights,NJ,New Jersey,Ocean,39.9423,-74.1452,8732,1840003758
Beach Haven West,NJ,New Jersey,Ocean,39.6702,-74.2337,8050,1840005526
Wenonah,NJ,New Jersey,Gloucester,39.7913,-75.1484,8090,1840001525
Leisure Village,NJ,New Jersey,Ocean,40.0444,-74.1852,8701,1840005534
Cedar Glen Lakes,NJ,New Jersey,Ocean,39.9527,-74.3995,8759,1840033477
Etra,NJ,New Jersey,Mercer,40.2526,-74.5068,8520,1840033269
Sicklerville,NJ,New Jersey,Camden,39.7173,-74.9693,8081,1840033409
Somerdale,NJ,New Jersey,Camden,39.8454,-75.0217,8083,1840001512
Libertyville,NJ,New Jersey,Sussex,41.2398,-74.6543,7461,1840033328
Millstone,NJ,New Jersey,Somerset,40.5006,-74.5922,8844,1840001058
Springside,NJ,New Jersey,Burlington,40.0604,-74.8504,8016,1840033419
Bloomingdale,NJ,New Jersey,Passaic,41.03,-74.3319,07403 07465,1840000832
Windsor,NJ,New Jersey,Mercer,40.2423,-74.5813,8561,1840033447
Burleigh,NJ,New Jersey,Cape May,39.0489,-74.8464,8210,1840024493
Avenel,NJ,New Jersey,Middlesex,40.5839,-74.2722,7001,1840005410
