city, state_id, state_name, county, longitude, latitude, zips, fips id
Springville,NY,New York,Erie,42.5084,-78.6696,14141,1840004391
Franklinville,NY,New York,Cattaraugus,42.3347,-78.4548,14737,1840004589
Brewster,NY,New York,Putnam,41.3972,-73.6157,10509,1840004893
East Middletown,NY,New York,Orange,41.4443,-74.3999,10940,1840033875
Bay Shore,NY,New York,Suffolk,40.7317,-73.2505,11706,1840005017
Jefferson Heights,NY,New York,Greene,42.2361,-73.8822,12414,1840004644
Kensington,NY,New York,Nassau,40.7931,-73.7221,11021,1840005298
Hortonville,NY,New York,Sullivan,41.7661,-75.022,12723 12745,1840024108
Dundee,NY,New York,Yates,42.5237,-76.9775,14837,1840004506
Bolivar,NY,New York,Allegany,42.0685,-78.1662,14715,1840004613
Wayland,NY,New York,Steuben,42.5659,-77.5925,14572,1840004555
Fishers Landing,NY,New York,Jefferson,44.2741,-76.007,13641,1840023980
East Greenbush,NY,New York,Rensselaer,42.5934,-73.7025,12061,1840004432
West Nyack,NY,New York,Rockland,41.0907,-73.9714,10994,1840004973
Shawnee,NY,New York,Niagara,43.1281,-78.8378,14132,1840033958
Malverne,NY,New York,Nassau,40.6746,-73.6721,11565,1840005305
Valley Stream,NY,New York,Nassau,40.6647,-73.7044,11580 11581 11582,1840005331
Pomona,NY,New York,Rockland,41.1892,-74.0543,10901 10970,1840004983
Perrysburg,NY,New York,Cattaraugus,42.4589,-79.0008,14129,1840004593
Marcellus,NY,New York,Onondaga,42.9838,-76.3403,13108,1840004324
Central Valley,NY,New York,Orange,41.3318,-74.121,10917,1840033863
Liverpool,NY,New York,Onondaga,43.1061,-76.2093,13088 13089,1840004322
Oakdale,NY,New York,Suffolk,40.7373,-73.1345,11769,1840005063
Great Neck Plaza,NY,New York,Nassau,40.7869,-73.726,11021,1840005292
Verona,NY,New York,Oneida,43.1368,-75.5717,13478,1840026150
Greenwood Lake,NY,New York,Orange,41.2212,-74.2892,10925,1840004869
Loon Lake,NY,New York,Franklin,44.5517,-74.0568,12989,1840033910
Canisteo,NY,New York,Steuben,42.2703,-77.6056,14823,1840004560
Brushton,NY,New York,Franklin,44.8307,-74.5118,12916,1840004070
Pamelia Center,NY,New York,Jefferson,44.0409,-75.9016,13601,1840023984
Alden,NY,New York,Erie,42.8988,-78.4946,14004,1840004394
Hannawa Falls,NY,New York,St. Lawrence,44.6015,-74.9739,13676 13647,1840034019
Gates Center,NY,New York,Monroe,43.1534,-77.6908,14624,1840033888
Harrison Grove,NY,New York,Niagara,43.2806,-78.9662,14174,1840033895
Brightwaters,NY,New York,Suffolk,40.7193,-73.2642,11718,1840005145
Laurel,NY,New York,Suffolk,40.9728,-72.556,11952 11948,1840005087
