city, state_id, state_name, county, longitude, latitude, zips, fips id
Prairie Ridge,WA,Washington,Pierce,47.1443,-122.1408,98360 98391,1840037882
Edison,WA,Washington,Skagit,48.5602,-122.4311,98232,1840017314
Packwood,WA,Washington,Lewis,46.6085,-121.6702,98361,1840025265
Wautauga Beach,WA,Washington,Kitsap,47.5862,-122.5482,98366,1840037725
Harper,WA,Washington,Kitsap,47.5207,-122.5196,98366,1840037659
Telma,WA,Washington,Chelan,47.8432,-120.8157,98826,1840037825
Kahlotus,WA,Washington,Franklin,46.6436,-118.5566,99335,1840018478
Mondovi,WA,Washington,Lincoln,47.6813,-118.0164,99122,1840037576
Washtucna,WA,Washington,Adams,46.7539,-118.3104,99371,1840022312
Pleasant Hill,WA,Washington,King,47.6154,-121.9096,98014,1840037805
Toledo,WA,Washington,Lewis,46.4412,-122.8494,98591,1840021162
Wabash,WA,Washington,King,47.2429,-122.0576,98022,1840037831
Renton,WA,Washington,King,47.4757,-122.1904,98059 98058 98057 98056 98055,1840019827
Chehalis,WA,Washington,Lewis,46.6649,-122.966,98532,1840018472
Central Valley,WA,Washington,Kitsap,47.6632,-122.6499,98370,1840037628
Lake City,WA,Washington,Pierce,47.1487,-122.5512,98498,1840037674
Megler,WA,Washington,Pacific,46.2509,-123.8576,98638,1840037572
Alder,WA,Washington,Pierce,46.7872,-122.2666,98328,1840023829
Ronald,WA,Washington,Kittitas,47.2338,-121.0335,98940,1840018438
Belvedere,WA,Washington,Okanogan,48.0499,-118.985,99116,1840037529
Waverly,WA,Washington,Spokane,47.338,-117.2313,99012 99039,1840022291
Turner Corner,WA,Washington,Snohomish,47.8045,-122.1435,98072,1840037720
Lofall,WA,Washington,Kitsap,47.8113,-122.6564,98370,1840023798
Kennydale,WA,Washington,King,47.5207,-122.2068,98056,1840037672
Easton,WA,Washington,Kittitas,47.2405,-121.1733,98925,1840017354
Navy Yard City,WA,Washington,Kitsap,47.5508,-122.6654,98312,1840018407
Mercer Island,WA,Washington,King,47.5624,-122.2265,98040,1840019830
Lynnwood,WA,Washington,Snohomish,47.8285,-122.3034,98037 98036 98046,1840019788
Coulee City,WA,Washington,Grant,47.6123,-119.289,99115,1840022293
Douglas,WA,Washington,Douglas,47.6212,-120.0048,98858,1840037763
Centralia,WA,Washington,Lewis,46.7226,-122.9695,98531,1840018471
Colbert,WA,Washington,Spokane,47.8266,-117.3419,99005,1840037633
Bryn Mawr,WA,Washington,King,47.5034,-122.2329,98178,1840037837
Silverdale,WA,Washington,Kitsap,47.6663,-122.6828,98311 98370 98383,1840018406
Lyle,WA,Washington,Klickitat,45.6956,-121.2805,98635,1840017402
Malott,WA,Washington,Okanogan,48.2919,-119.6954,98840 98829,1840025236
Mountlake Terrace,WA,Washington,Snohomish,47.7921,-122.3077,98043,1840019792
Ilwaco,WA,Washington,Pacific,46.3099,-124.0417,98624,1840018470
Fairwood,WA,Washington,King,47.4467,-122.143,98058,1840037517
Warm Beach,WA,Washington,Snohomish,48.1649,-122.3442,98292,1840018377
Thomas,WA,Washington,King,47.3537,-122.229,98002,1840037715
Parker,WA,Washington,Yakima,46.5022,-120.4668,98939 98951,1840023856
Steptoe,WA,Washington,Whitman,47.0075,-117.3502,99111 99174,1840025258
Vail,WA,Washington,Thurston,46.8451,-122.6562,98576,1840037829
